source_id,source_name,target_count,actual_count,rank_min,rank_max,known_video_ids,unresolved_video_ids,user_pinned_count,ratings_completed,status
xomu,Xomu,40,40,1,40,10,30,0,0,COMPLETE_40_ROW_SEED
thefatrat,TheFatRat,40,40,1,40,10,30,0,0,COMPLETE_40_ROW_SEED
diversity,Diversity,40,40,1,40,10,30,1,0,COMPLETE_40_ROW_SEED
starling_edm,StarlingEDM,40,40,1,40,10,30,0,0,COMPLETE_40_ROW_SEED
xu_mengyuan,徐梦圆 YUAN,40,40,1,40,10,30,10,0,COMPLETE_40_ROW_SEED
myomouse,MyoMouse,40,40,1,40,10,30,0,0,COMPLETE_40_ROW_SEED
